0.000000,-0.000000,-0.000000,9.810000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,2.448207,4.117120,10.372797,7.799848,9.463156,1.908649,0.000200,0.000450,0.000050,0.599960,2.699595,2.249063
0.020000,4.889921,8.224421,11.054255,7.663489,9.535226,1.539876,0.000800,0.001799,0.000200,1.199680,5.396761,4.492504
0.030000,5.372315,7.827349,11.107614,7.490197,9.596012,1.176131,0.001799,0.004047,0.000450,1.798920,8.089069,6.724716
0.040000,5.873183,7.425707,11.111819,7.281153,9.644387,0.821239,0.003198,0.007191,0.000800,2.397441,10.774099,8.940120
0.050000,6.387425,7.021990,11.065344,7.037947,9.679296,0.478903,0.004996,0.011228,0.001250,2.995002,13.449432,11.133178
0.060000,6.909678,6.618584,10.967461,6.762560,9.699778,0.152659,0.007191,0.016155,0.001799,3.591366,16.112662,13.298409
0.070000,7.434445,6.217736,10.818250,6.457334,9.704982,-0.154166,0.009784,0.021967,0.002449,4.186293,18.761391,15.430401
0.080000,7.956222,5.821520,10.618589,6.124940,9.694188,-0.438496,0.012772,0.028660,0.003198,4.779546,21.393236,17.523825
0.090000,8.469624,5.431818,10.370130,5.768333,9.666815,-0.697540,0.016156,0.036226,0.004047,5.370887,24.005829,19.573449
0.100000,8.969499,5.050309,10.075241,5.390715,9.622440,-0.928816,0.019933,0.044660,0.004996,5.960080,26.596819,21.574149
0.110000,9.451038,4.678457,9.736941,4.995486,9.560799,-1.130184,0.024102,0.053954,0.006044,6.546889,29.163873,23.520925
0.120000,9.909869,4.317518,9.358823,4.586194,9.481792,-1.299858,0.028661,0.064098,0.007191,7.131079,31.704681,25.408911
0.130000,10.342129,3.968540,8.944953,4.166486,9.385490,-1.436421,0.033609,0.075085,0.008438,7.712417,34.216957,27.233388
0.140000,10.744524,3.632377,8.499776,3.740056,9.272125,-1.538830,0.038943,0.086905,0.009784,8.290669,36.698441,28.989796
0.150000,11.114374,3.309707,8.028007,3.310597,9.142091,-1.606420,0.044662,0.099545,0.011229,8.865606,39.146898,30.673744
0.160000,11.449627,3.001041,7.534529,2.881750,8.995931,-1.638896,0.050763,0.112997,0.012773,9.436997,41.560126,32.281024
0.170000,11.748868,2.706752,7.024289,2.457059,8.834327,-1.636325,0.057243,0.127246,0.014415,10.004613,43.935952,33.807618
0.180000,12.011304,2.427088,6.502200,2.039928,8.658089,-1.599119,0.064101,0.142281,0.016156,10.568227,46.272239,35.249711
0.190000,12.236737,2.162195,5.973054,1.633580,8.468137,-1.528018,0.071333,0.158087,0.017996,11.127614,48.566884,36.603698
0.200000,12.425524,1.912135,5.441443,1.241025,8.265482,-1.424062,0.078936,0.174651,0.019933,11.682550,50.817823,37.866194
0.210000,12.578524,1.676901,4.911691,0.865024,8.051212,-1.288570,0.086908,0.191958,0.021969,12.232814,53.023028,39.034045
0.220000,12.697043,1.456437,4.387801,0.508069,7.826470,-1.123107,0.095245,0.209992,0.024102,12.778184,55.180517,40.104331
0.230000,12.782770,1.250646,3.873413,0.172360,7.592434,-0.929453,0.103944,0.228737,0.026333,13.318443,57.288346,41.074377
0.240000,12.837709,1.059403,3.371773,-0.140210,7.350302,-0.709570,0.113001,0.248176,0.028662,13.853375,59.344620,41.941759
0.250000,12.864117,0.882562,2.885719,-0.428065,7.101266,-0.465571,0.122413,0.268291,0.031087,14.382766,61.347488,42.704308
